,instance_type,vcpus,linux_price,windows_price,region
0,c4.4xlarge,16,$0.3506,N/A*,us-east-1
1,c4.8xlarge,36,$0.6317,N/A*,us-east-1
2,c5.12xlarge,48,$0.919,N/A*,us-east-1
3,c5.18xlarge,72,$1.3898,N/A*,us-east-1
4,c5.24xlarge,96,$1.6261,N/A*,us-east-1
5,c5.4xlarge,16,$0.2984,N/A*,us-east-1
6,c5.9xlarge,36,$0.6916,N/A*,us-east-1
7,c5.metal,96,$1.7178,N/A*,us-east-1
8,c5a.12xlarge,48,$0.8651,N/A*,us-east-1
9,c5a.16xlarge,64,$1.0887,N/A*,us-east-1
10,c5a.24xlarge,96,$1.7244,N/A*,us-east-1
11,c5a.4xlarge,16,$0.3378,N/A*,us-east-1
12,c5a.8xlarge,32,$0.6315,N/A*,us-east-1
13,c5ad.12xlarge,48,$0.9147,N/A*,us-east-1
14,c5ad.16xlarge,64,$1.1814,N/A*,us-east-1
15,c5ad.24xlarge,96,$1.9033,N/A*,us-east-1
16,c5ad.4xlarge,16,$0.3477,N/A*,us-east-1
17,c5ad.8xlarge,32,$0.7504,N/A*,us-east-1
18,c5d.12xlarge,48,$1.0636,N/A*,us-east-1
19,c5d.18xlarge,72,$1.3017,N/A*,us-east-1
20,c5d.24xlarge,96,$1.6756,N/A*,us-east-1
21,c5d.4xlarge,16,$0.3453,N/A*,us-east-1
22,c5d.9xlarge,36,$0.7123,N/A*,us-east-1
23,c5d.metal,96,$1.6524,N/A*,us-east-1
24,c5n.18xlarge,72,$1.3511,N/A*,us-east-1
25,c5n.4xlarge,16,$0.3709,N/A*,us-east-1
26,c5n.9xlarge,36,$0.7505,N/A*,us-east-1
27,c5n.metal,72,$1.2143,N/A*,us-east-1
28,c6i.12xlarge,48,$0.9714,N/A*,us-east-1
29,c6i.16xlarge,64,$1.3109,N/A*,us-east-1
30,c6i.24xlarge,96,$2.051,N/A*,us-east-1
31,c6i.32xlarge,128,$2.4827,N/A*,us-east-1
32,c6i.4xlarge,16,$0.3257,N/A*,us-east-1
33,c6i.8xlarge,32,$0.5828,N/A*,us-east-1
34,c6i.metal,128,$2.3144,N/A*,us-east-1
35,m5.12xlarge,48,$0.8984,N/A*,us-east-1
36,m5.16xlarge,64,$1.3397,N/A*,us-east-1
37,m5.24xlarge,96,$1.8149,N/A*,us-east-1
38,m5.4xlarge,16,$0.3687,N/A*,us-east-1
39,m5.8xlarge,32,$0.6379,N/A*,us-east-1
40,m5.metal,96,$1.7138,N/A*,us-east-1
0,c4.4xlarge,16,$0.1996,N/A*,us-east-2
1,c4.8xlarge,36,$0.3587,N/A*,us-east-2
2,c5.12xlarge,48,$0.4633,N/A*,us-east-2
3,c5.18xlarge,72,$0.732,N/A*,us-east-2
4,c5.24xlarge,96,$1.0134,N/A*,us-east-2
5,c5.4xlarge,16,$0.155,N/A*,us-east-2
6,c5.9xlarge,36,$0.3457,N/A*,us-east-2
7,c5.metal,96,$0.9316,N/A*,us-east-2
8,c5a.12xlarge,48,$0.4564,N/A*,us-east-2
9,c5a.16xlarge,64,$0.6623,N/A*,us-east-2
10,c5a.24xlarge,96,$1.2213,N/A*,us-east-2
11,c5a.4xlarge,16,$0.1595,N/A*,us-east-2
12,c5a.8xlarge,32,$0.3076,N/A*,us-east-2
13,c5ad.12xlarge,48,$0.4561,N/A*,us-east-2
14,c5ad.16xlarge,64,$0.6081,N/A*,us-east-2
15,c5ad.24xlarge,96,$1.0777,N/A*,us-east-2
16,c5ad.4xlarge,16,$0.1817,N/A*,us-east-2
17,c5ad.8xlarge,32,$0.361,N/A*,us-east-2
18,c5d.12xlarge,48,$0.4613,N/A*,us-east-2
19,c5d.18xlarge,72,$0.6907,N/A*,us-east-2
20,c5d.24xlarge,96,$1.1512,N/A*,us-east-2
21,c5d.4xlarge,16,$0.1782,N/A*,us-east-2
22,c5d.9xlarge,36,$0.3609,N/A*,us-east-2
23,c5d.metal,96,$0.9224,N/A*,us-east-2
24,c5n.18xlarge,72,$0.7382,N/A*,us-east-2
25,c5n.4xlarge,16,$0.1531,N/A*,us-east-2
26,c5n.9xlarge,36,$0.3595,N/A*,us-east-2
27,c5n.metal,72,$0.6841,N/A*,us-east-2
28,c6i.12xlarge,48,$0.4789,N/A*,us-east-2
29,c6i.16xlarge,64,$0.6385,N/A*,us-east-2
30,c6i.24xlarge,96,$1.2075,N/A*,us-east-2
31,c6i.32xlarge,128,$1.2815,N/A*,us-east-2
32,c6i.4xlarge,16,$0.1601,N/A*,us-east-2
33,c6i.8xlarge,32,$0.3193,N/A*,us-east-2
34,c6i.metal,128,$1.3234,N/A*,us-east-2
35,m5.12xlarge,48,$0.5053,N/A*,us-east-2
36,m5.16xlarge,64,$1.0893,N/A*,us-east-2
37,m5.24xlarge,96,$1.0816,N/A*,us-east-2
38,m5.4xlarge,16,$0.2257,N/A*,us-east-2
39,m5.8xlarge,32,$0.3571,N/A*,us-east-2
40,m5.metal,96,$1.0926,N/A*,us-east-2
0,c4.4xlarge,16,$0.2946,N/A*,us-west-1
1,c4.8xlarge,36,$1.0695,N/A*,us-west-1
2,c5.12xlarge,48,$0.7442,N/A*,us-west-1
3,c5.18xlarge,72,$1.4807,N/A*,us-west-1
4,c5.24xlarge,96,$1.7041,N/A*,us-west-1
5,c5.4xlarge,16,$0.3142,N/A*,us-west-1
6,c5.9xlarge,36,$0.6192,N/A*,us-west-1
7,c5.metal,96,$1.4771,N/A*,us-west-1
8,c5a.12xlarge,48,$0.98,N/A*,us-west-1
9,c5a.16xlarge,64,$0.9848,N/A*,us-west-1
10,c5a.24xlarge,96,$1.4771,N/A*,us-west-1
11,c5a.4xlarge,16,$0.3258,N/A*,us-west-1
12,c5a.8xlarge,32,$0.6035,N/A*,us-west-1
13,c5d.12xlarge,48,$0.7971,N/A*,us-west-1
14,c5d.18xlarge,72,$1.1697,N/A*,us-west-1
15,c5d.24xlarge,96,$1.4888,N/A*,us-west-1
16,c5d.4xlarge,16,$0.2866,N/A*,us-west-1
17,c5d.9xlarge,36,$0.5767,N/A*,us-west-1
18,c5d.metal,96,$1.4771,N/A*,us-west-1
19,c5n.18xlarge,72,$2.9839,N/A*,us-west-1
20,c5n.4xlarge,16,$0.2721,N/A*,us-west-1
21,c5n.9xlarge,36,$0.5592,N/A*,us-west-1
22,c5n.metal,72,$3.1624,N/A*,us-west-1
23,c6i.12xlarge,48,$0.9217,N/A*,us-west-1
24,c6i.16xlarge,64,$1.2255,N/A*,us-west-1
25,c6i.24xlarge,96,$1.7305,N/A*,us-west-1
26,c6i.32xlarge,128,$2.1083,N/A*,us-west-1
27,c6i.4xlarge,16,$0.3857,N/A*,us-west-1
28,c6i.8xlarge,32,$0.6002,N/A*,us-west-1
29,c6i.metal,128,$2.0679,N/A*,us-west-1
30,m5.12xlarge,48,$0.8275,N/A*,us-west-1
31,m5.16xlarge,64,$1.034,N/A*,us-west-1
32,m5.24xlarge,96,$1.6175,N/A*,us-west-1
33,m5.4xlarge,16,$0.5343,N/A*,us-west-1
34,m5.8xlarge,32,$0.655,N/A*,us-west-1
35,m5.metal,96,$1.5509,N/A*,us-west-1
0,c4.4xlarge,16,$0.3635,N/A*,us-west-2
1,c4.8xlarge,36,$0.516,N/A*,us-west-2
2,c5.12xlarge,48,$0.8227,N/A*,us-west-2
3,c5.18xlarge,72,$1.5433,N/A*,us-west-2
4,c5.24xlarge,96,$1.7863,N/A*,us-west-2
5,c5.4xlarge,16,$0.2591,N/A*,us-west-2
6,c5.9xlarge,36,$0.6653,N/A*,us-west-2
7,c5.metal,96,$1.8068,N/A*,us-west-2
8,c5a.12xlarge,48,$0.8996,N/A*,us-west-2
9,c5a.16xlarge,64,$1.0464,N/A*,us-west-2
10,c5a.24xlarge,96,$1.7036,N/A*,us-west-2
11,c5a.4xlarge,16,$0.3169,N/A*,us-west-2
12,c5a.8xlarge,32,$0.6532,N/A*,us-west-2
13,c5ad.12xlarge,48,$0.906,N/A*,us-west-2
14,c5ad.16xlarge,64,$1.047,N/A*,us-west-2
15,c5ad.24xlarge,96,$1.6979,N/A*,us-west-2
16,c5ad.4xlarge,16,$0.3288,N/A*,us-west-2
17,c5ad.8xlarge,32,$0.7379,N/A*,us-west-2
18,c5d.12xlarge,48,$0.9291,N/A*,us-west-2
19,c5d.18xlarge,72,$1.2929,N/A*,us-west-2
20,c5d.24xlarge,96,$1.6449,N/A*,us-west-2
21,c5d.4xlarge,16,$0.2845,N/A*,us-west-2
22,c5d.9xlarge,36,$0.639,N/A*,us-west-2
23,c5d.metal,96,$1.88,N/A*,us-west-2
24,c5n.18xlarge,72,$1.1805,N/A*,us-west-2
25,c5n.4xlarge,16,$0.302,N/A*,us-west-2
26,c5n.9xlarge,36,$0.6847,N/A*,us-west-2
27,c5n.metal,72,$1.1682,N/A*,us-west-2
28,c6i.12xlarge,48,$0.8282,N/A*,us-west-2
29,c6i.16xlarge,64,$1.0957,N/A*,us-west-2
30,c6i.24xlarge,96,$2.0164,N/A*,us-west-2
31,c6i.32xlarge,128,$2.6176,N/A*,us-west-2
32,c6i.4xlarge,16,$0.275,N/A*,us-west-2
33,c6i.8xlarge,32,$0.5647,N/A*,us-west-2
34,c6i.metal,128,$2.1924,N/A*,us-west-2
35,m5.12xlarge,48,$0.8358,N/A*,us-west-2
36,m5.16xlarge,64,$1.2159,N/A*,us-west-2
37,m5.24xlarge,96,$1.7781,N/A*,us-west-2
38,m5.4xlarge,16,$0.362,N/A*,us-west-2
39,m5.8xlarge,32,$0.6209,N/A*,us-west-2
40,m5.metal,96,$1.714,N/A*,us-west-2
0,c4.4xlarge,16,$0.2203,N/A*,ca-central-1
1,c4.8xlarge,36,$0.4405,N/A*,ca-central-1
2,c5.12xlarge,48,$0.6939,N/A*,ca-central-1
3,c5.18xlarge,72,$1.0408,N/A*,ca-central-1
4,c5.24xlarge,96,$1.3877,N/A*,ca-central-1
5,c5.4xlarge,16,$0.2445,N/A*,ca-central-1
6,c5.9xlarge,36,$0.5204,N/A*,ca-central-1
7,c5.metal,96,$1.3877,N/A*,ca-central-1
8,c5a.12xlarge,48,$0.6939,N/A*,ca-central-1
9,c5a.16xlarge,64,$0.9251,N/A*,ca-central-1
10,c5a.24xlarge,96,$1.3877,N/A*,ca-central-1
11,c5a.4xlarge,16,$0.2313,N/A*,ca-central-1
12,c5a.8xlarge,32,$0.4629,N/A*,ca-central-1
13,c5d.12xlarge,48,$0.6939,N/A*,ca-central-1
14,c5d.18xlarge,72,$1.0408,N/A*,ca-central-1
15,c5d.24xlarge,96,$1.3877,N/A*,ca-central-1
16,c5d.4xlarge,16,$0.2315,N/A*,ca-central-1
17,c5d.9xlarge,36,$0.5204,N/A*,ca-central-1
18,c5d.metal,96,$1.3877,N/A*,ca-central-1
19,c5n.18xlarge,72,$1.0408,N/A*,ca-central-1
20,c5n.4xlarge,16,$0.2393,N/A*,ca-central-1
21,c5n.9xlarge,36,$0.5291,N/A*,ca-central-1
22,c5n.metal,72,$1.0408,N/A*,ca-central-1
23,c6i.12xlarge,48,$0.7285,N/A*,ca-central-1
24,c6i.16xlarge,64,$0.9714,N/A*,ca-central-1
25,c6i.24xlarge,96,$1.4571,N/A*,ca-central-1
26,c6i.32xlarge,128,$1.9428,N/A*,ca-central-1
27,c6i.4xlarge,16,$0.2461,N/A*,ca-central-1
28,c6i.8xlarge,32,$0.4857,N/A*,ca-central-1
29,c6i.metal,128,$1.9428,N/A*,ca-central-1
30,m5.12xlarge,48,$0.7285,N/A*,ca-central-1
31,m5.16xlarge,64,$0.9714,N/A*,ca-central-1
32,m5.24xlarge,96,$1.4571,N/A*,ca-central-1
33,m5.4xlarge,16,$0.3097,N/A*,ca-central-1
34,m5.8xlarge,32,$0.4857,N/A*,ca-central-1
35,m5.metal,96,$1.4571,N/A*,ca-central-1
